codigo_postal,balanced_kmeans,latitud,longitud,zone,subzone
54860,blue,19.666467666626,-99.1586837768555,Cuautitlan,1.0
54870,gold,19.6777477264404,-99.1726226806641,Cuautitlan,1.0
54875,blue,19.6724338531494,-99.170280456543,Cuautitlan,1.0
54877,blue,19.6623954772949,-99.1709747314453,Cuautitlan,1.0
54878,blue,19.6569976806641,-99.1754913330078,Cuautitlan,1.0
54879,blue,19.6480751037598,-99.1813812255859,Cuautitlan,2.0
54880,gold,19.7008438110352,-99.1435699462891,Cuautitlan,1.0
54882,gold,19.7046775817871,-99.1392059326172,Cuautitlan,1.0
54883,gold,19.6949119567871,-99.1474304199219,Cuautitlan,1.0
54884,gold,19.7084922790527,-99.1498565673828,Cuautitlan,1.0
54890,gold,19.7173080444336,-99.1343078613281,Cuautitlan,1.0
54893,gold,19.7094383239746,-99.130615234375,Cuautitlan,1.0
54894,gold,19.7144203186035,-99.1244888305664,Cuautitlan,1.0
54900,blue,19.6445865631104,-99.1679077148438,Cuautitlan,3.0
54910,blue,19.6431064605713,-99.1324768066406,Cuautitlan,3.0
54913,blue,19.6242923736572,-99.1674880981445,Cuautitlan,2.0
54914,blue,19.6285762786865,-99.1720886230469,Cuautitlan,2.0
54915,blue,19.6278038024902,-99.1702423095703,Cuautitlan,2.0
54916,blue,19.6284656524658,-99.1581192016602,Cuautitlan,3.0
54918,blue,19.6329593658447,-99.1624603271484,Cuautitlan,3.0
54920,green,19.6727695465088,-99.0749435424805,Cuautitlan,3.0
54924,green,19.6656455993652,-99.0711517333984,Cuautitlan,3.0
54925,green,19.667818069458,-99.0749053955078,Cuautitlan,3.0
54926,green,19.6725196838379,-99.0770492553711,Cuautitlan,3.0
54927,green,19.6780052185059,-99.0737991333008,Cuautitlan,3.0
54929,green,19.6833438873291,-99.0754776000977,Cuautitlan,3.0
54930,green,19.6597766876221,-99.0850143432617,Cuautitlan,2.0
54932,green,19.6576175689697,-99.0743026733398,Cuautitlan,2.0
54933,green,19.6706008911133,-99.0750122070313,Cuautitlan,3.0
54934,green,19.6709098815918,-99.0779495239258,Cuautitlan,3.0
54935,green,19.6879711151123,-99.0904846191406,Cuautitlan,3.0
54938,blue,19.6791763305664,-99.1081085205078,Cuautitlan,1.0
54939,blue,19.6673126220703,-99.111198425293,Cuautitlan,1.0
54940,blue,19.6146106719971,-99.1839065551758,Cuautitlan,2.0
54942,blue,19.6059322357178,-99.1697769165039,Cuautitlan,2.0
54943,blue,19.6099624633789,-99.1737899780273,Cuautitlan,2.0
54944,blue,19.610372543335,-99.1625366210938,Cuautitlan,2.0
54945,blue,19.5913715362549,-99.181884765625,Cuautitlan,2.0
54946,blue,19.610200881958,-99.183219909668,Cuautitlan,2.0
54948,blue,19.6155529022217,-99.1483688354492,Cuautitlan,3.0
54949,blue,19.6282749176025,-99.1379013061523,Cuautitlan,3.0
54950,blue,19.594181060791,-99.1730651855469,Cuautitlan,2.0
54954,blue,19.5796756744385,-99.1733779907227,Cuautitlan,2.0
54955,blue,19.589469909668,-99.1670837402344,Cuautitlan,2.0
54957,blue,19.5981273651123,-99.1578903198242,Cuautitlan,2.0
54958,blue,19.6050033569336,-99.1753616333008,Cuautitlan,2.0
54959,blue,19.6037635803223,-99.182487487793,Cuautitlan,2.0
54960,blue,19.6807804107666,-99.1409301757813,Cuautitlan,1.0
54962,blue,19.6796264648438,-99.1207733154297,Cuautitlan,1.0
54963,blue,19.678731918335,-99.1278381347656,Cuautitlan,1.0
54964,blue,19.6870632171631,-99.1328735351563,Cuautitlan,1.0
54965,blue,19.6923713684082,-99.1223907470703,Cuautitlan,1.0
54966,blue,19.6910495758057,-99.121452331543,Cuautitlan,1.0
54967,blue,19.6961231231689,-99.122673034668,Cuautitlan,1.0
54970,blue,19.695291519165,-99.107063293457,Cuautitlan,1.0
54972,green,19.685338973999,-99.0799255371094,Cuautitlan,3.0
54974,blue,19.6898784637451,-99.1049728393555,Cuautitlan,1.0
54975,blue,19.6937580108643,-99.1159362792969,Cuautitlan,1.0
54976,blue,19.6909847259522,-99.1119842529297,Cuautitlan,1.0
54977,green,19.6989784240723,-99.1008758544922,Cuautitlan,3.0
54980,blue,19.6610565185547,-99.1386795043945,Cuautitlan,1.0
54983,blue,19.6673069000244,-99.1220169067383,Cuautitlan,1.0
54984,blue,19.6693916320801,-99.1430053710938,Cuautitlan,1.0
54985,blue,19.6568775177002,-99.1096725463867,Cuautitlan,1.0
54986,blue,19.6561641693115,-99.1393814086914,Cuautitlan,1.0
54987,blue,19.6601829528809,-99.1119537353516,Cuautitlan,1.0
54990,blue,19.6590557098389,-99.1285781860352,Cuautitlan,1.0
55000,green,19.6002502441406,-99.0467987060547,Cuautitlan,1.0
55010,green,19.63205909729,-99.0686645507813,Cuautitlan,2.0
55014,green,19.6162967681885,-99.0819931030273,Cuautitlan,2.0
55016,green,19.6150360107422,-99.0700302124023,Cuautitlan,2.0
55017,green,19.6124172210693,-99.0796508789063,Cuautitlan,2.0
55018,green,19.6172885894775,-99.0765380859375,Cuautitlan,2.0
55020,green,19.6040115356445,-99.0606002807617,Cuautitlan,1.0
55023,green,19.6112537384033,-99.0305023193359,Cuautitlan,1.0
55024,green,19.6100616455078,-99.0600204467773,Cuautitlan,1.0
55025,green,19.6020565032959,-99.0389862060547,Cuautitlan,1.0
55027,green,19.6204948425293,-99.0740661621094,Cuautitlan,2.0
55028,green,19.6068248748779,-99.0675201416016,Cuautitlan,1.0
55029,green,19.6556148529053,-99.0696792602539,Cuautitlan,2.0
55030,green,19.5938262939453,-99.0501251220703,Cuautitlan,1.0
55036,green,19.5898933410645,-99.0451812744141,Cuautitlan,1.0
55037,green,19.5917530059814,-99.0461807250977,Cuautitlan,1.0
55038,green,19.5940074920654,-99.052978515625,Cuautitlan,1.0
55039,green,19.5989952087402,-99.052604675293,Cuautitlan,1.0
55040,green,19.5913753509522,-99.0314788818359,Cuautitlan,1.0
55050,green,19.6027317047119,-99.0237197875977,Cuautitlan,1.0
55055,green,19.6113204956055,-99.0166854858398,Cuautitlan,1.0
55056,green,19.6052875518799,-99.0228424072266,Cuautitlan,1.0
55057,green,19.5958824157715,-99.0307388305664,Cuautitlan,1.0
55059,green,19.5965404510498,-99.0313568115234,Cuautitlan,1.0
55060,green,19.6180515289307,-99.0164031982422,Cuautitlan,1.0
55063,green,19.6450347900391,-98.9790344238281,Cuautitlan,1.0
