ID_Credito,ID_Credito_original,ID_Tienda
7e20ff,87984d65-b77f-4b34-adbf-de9d5e7e20ff,
51f427,8931cdf2-73ed-4d87-862e-de5d8851f427,
344fd1,89b5cf25-9f3b-4604-ac94-1e22c2344fd1,
14989c,8b74f27d-3f10-470c-b80b-b10a3b14989c,
1c1e54,8bcd55ce-9f5d-47c6-bc15-512c9a1c1e54,
a7ddd9,8d0d9a42-ba73-4a28-910c-29e169a7ddd9,
1ac82f,8df5884b-faef-4692-a138-75bd171ac82f,
d48629,8e5df5e1-af38-44d5-bd76-6a5b3cd48629,
d3b911,8f05b29f-1ce7-4a94-82fa-8b25c1d3b911,
14560a,8f878bd1-4d9a-4a9d-8a99-b5d78b14560a,
9de253,905f846a-6da7-4757-aec4-e11b089de253,
3e9f97,908b95cb-b55c-4c19-8528-9ea0f13e9f97,
a0e2e3,92e5627d-cc60-43b1-a990-919a0ea0e2e3,
88e1c1,93294ecc-199f-4e58-90cf-ac9fb188e1c1,
0a44ac,93cbc044-eaac-45ec-a1e5-7823bf0a44ac,
6eca7e,96fed422-1d76-498f-9f5c-fe02fb6eca7e,
3496f1,9733dabb-e42e-4061-9fb7-9ad5193496f1,
f58d26,98e917c4-3f9f-4c72-b39c-1bea92f58d26,
58251d,9a1fa001-b0e6-42d0-8e6c-5d9d5958251d,
fe53c2,9b774815-05ca-43dd-8cd3-5a5472fe53c2,
749edf,9b9eef36-d0e1-4251-a41d-b6420d749edf,
47166a,9beee6e7-1b04-44b4-8ce3-e5828647166a,
911029,9c43e441-5fec-44c1-8a08-54c7a5911029,
e2c2e0,9c465244-4d16-4a77-9a63-109bbee2c2e0,
282825,9cebe163-889c-4c6d-b801-94a956282825,
6fba92,9dbdde4a-c155-4470-ae3c-1c0e306fba92,
7be306,9e321c3f-a022-4e0d-b985-b8419d7be306,
1afec4,9f6e182c-4410-444a-a4d7-00a7c71afec4,
357f16,9ffc0cfa-ba7f-4d38-bb15-858615357f16,
3d1a18,a003d689-3847-4cd6-8921-560eed3d1a18,
7163de,a007bb1d-6a51-4dc4-9b2f-405c917163de,
e4d61b,a0a326b1-974d-4224-9a9f-26b39ce4d61b,
185d43,a4f8860d-7dd2-4873-a0d5-909fc2185d43,
8b8039,a5741a8a-1c14-4588-a04f-51d5258b8039,
495972,a5b28fcf-7a30-4323-9984-9128c0495972,
b256e0,a601ed98-47c4-416e-9740-a8c862b256e0,
13b7cb,a64fd47c-e948-4090-8ac7-d9921213b7cb,
c2ddfe,a68b5927-df70-480f-b690-cb531ac2ddfe,
c1c191,a68f8d36-c2fd-4383-bb6c-144e03c1c191,
e6acf3,a734e231-232b-47b9-adb2-14947de6acf3,
565266,a881b5e5-40d9-46d5-862c-d03874565266,
d2fbf0,a89132e8-f943-41ca-9593-1b9a79d2fbf0,
6e1b69,a94ece23-41fb-44aa-bd9b-ef67546e1b69,
7dfb14,a9821cfd-5511-4543-8639-2ad3027dfb14,
5e930f,a9847b4c-474a-4a52-83a8-e822975e930f,
00ec63,a98fb9a3-7bda-436e-a7b5-9ba68600ec63,
1943d8,a9f431ce-e487-425f-9bb0-ea2a0b1943d8,
c5ffe6,aa508f08-92d9-44ff-9cbe-06a64dc5ffe6,
f46e8f,aa92430a-968c-46e9-a8a6-21eee6f46e8f,
e8dccc,ab0cd57b-03b1-43f2-9e99-eb2679e8dccc,
bcfb25,ab27693d-971b-4774-ab4a-ab95cebcfb25,
5b5deb,ab361027-4ed2-46d2-b0e9-e830815b5deb,
2aeec0,ac01f17d-d3c0-45e6-a6df-9e8c5d2aeec0,
b2b02f,ad459664-9f0a-499a-8b50-2050c8b2b02f,
9c0ab7,add0ab59-0fd1-4f6a-9122-72506d9c0ab7,
9d1890,af29611b-f2a0-42d5-af94-426abc9d1890,
26c5f2,af3c7389-de6e-4ac3-8c1b-e72ea326c5f2,
634abd,b00fdd1e-d40b-480a-b7b6-3b8f79634abd,
32b53d,b025778e-3f10-4732-b8e1-874d1d32b53d,
ad59cd,b0f83527-9e45-42fd-8faf-7d4cb8ad59cd,
4f44c0,b150b151-ff70-4af6-b490-d8171e4f44c0,
8daae8,b1a684d3-34eb-4b83-bcc0-f2dcad8daae8,
f77ec2,b1abead7-73f7-441f-8b99-660c60f77ec2,
4d0cee,b1eab256-d6eb-4f27-b768-61bbc54d0cee,
a426a0,b1ec686f-a0d6-4f20-b72d-093034a426a0,
9cde8f,b21b0182-8516-4554-a9bb-84143b9cde8f,
fd0303,b238ff03-54d6-4baf-a032-baf3bffd0303,
920fba,b338d869-d6df-45a9-b887-7d2aa8920fba,
47c2af,b344b740-2027-4be5-a0fb-b9fcd547c2af,
783c2f,b3754101-2493-4454-a602-f56087783c2f,
7e876a,b39a89f2-05d6-4e1e-9323-9f10a57e876a,
904db3,b6354170-90bd-402f-82da-cbc867904db3,
d454d1,b6ca354a-9539-45cd-ba6e-b3458dd454d1,
f0bab6,b8a5113e-ebbc-4673-870e-57dcf4f0bab6,
141399,b8f3c3da-80ae-44c2-94c5-cff2b8141399,
8a50b7,b9ca999e-017e-4126-99b1-64d6de8a50b7,
70c206,bac42780-8442-4800-9fa6-5b9fc170c206,
9bf51f,bd5ca252-f137-4ae3-92e7-e6e6a89bf51f,
f8b04d,bda608b9-1e7b-4a6a-8f62-94e71ef8b04d,
2e2510,bf75f931-7ccd-4b68-8826-1e93412e2510,
17297f,bfdf85fa-1545-4123-8826-63645017297f,
5f8efa,c04daa2a-1e4d-4291-9922-f78c0e5f8efa,
d8e267,c0a7afed-60e3-4bc0-88b0-6a5c96d8e267,
7e2809,c17cb773-5718-4b11-ad34-d7297f7e2809,
e9fe4d,c378ffd5-455c-483c-bad9-a55661e9fe4d,
8ec9cd,c4b69b66-7cd1-43f1-b1cd-1eafdc8ec9cd,
9a9292,c5d9cd7b-c09e-4d79-bb8e-67735c9a9292,
ba4d95,c60ea619-f15d-4f8b-bfa7-583f20ba4d95,
9db04b,c6cb1c67-7257-457e-86cd-dfd7be9db04b,
467bff,c6fa795c-5b18-46d2-b850-6d4fdf467bff,
00ade3,c81cb304-09ed-4a47-86fc-84a0de00ade3,
a61fbf,c98680af-53c2-4e6a-b797-324d66a61fbf,
05bb71,c9d71764-6c0b-47c1-8c5a-2bab4605bb71,
e62d69,c9da57c3-cba1-4f08-be7a-6ac8cfe62d69,
6d89b2,cbb12f79-3c09-4386-be59-b3aceb6d89b2,
70ddca,cc778104-65af-4544-a399-cb639970ddca,
37dc1a,ccd0bced-afc9-4ec7-a4fd-7ad73b37dc1a,
801a36,ce2f9af9-a112-498d-a94d-e7174c801a36,
a472fd,ce67c462-a1fa-4807-9f58-8b4449a472fd,
a3b623,cf7902ff-42b9-475f-946b-61c9c7a3b623,
b8f875,cfdaf0af-7fb7-4998-8b6e-e6ced7b8f875,
698179,d0570352-753f-4a7f-9473-ead6f3698179,
48432c,d05966ff-5c7a-4c51-8c2e-a8ee6b48432c,
658392,d1370bc8-8159-4a8d-884b-ec0955658392,
5c6390,d2ea5bd2-8c14-4734-b2fd-bda73e5c6390,
799569,d367687f-37fb-435d-8cd8-e8999d799569,
bd6a61,d3a74e20-6352-4ad1-a24e-f86c56bd6a61,
c5d3ed,d3de0bfc-803e-4b21-abbb-267915c5d3ed,
128207,d4f1961c-0b09-4557-adf8-06f752128207,
f45d9f,d74dfbd6-6ad0-4375-8264-2c2e60f45d9f,
225779,d81b838a-c4fa-43cb-aa66-04239a225779,
80c022,d86892ae-07ec-4a83-b738-126a6780c022,
a1b39e,d900e18d-7f77-4127-acbf-4eaef5a1b39e,
8b5bd7,d93b2b82-856b-46cc-ad97-3d4c078b5bd7,
6ce6e9,da8a4779-dc63-463a-9f8d-5ce0146ce6e9,
f8ccec,daf1d5d5-9def-49f9-a644-938b0cf8ccec,
95e277,dd2c91c1-1695-4094-8633-3f008995e277,
a445f4,de0f7b8b-43d3-461c-babe-35a051a445f4,
34f6a3,df5bf97f-1834-439f-9efa-3f87f034f6a3,
e6f71e,dfb827af-c4b5-4275-bf51-2f9c77e6f71e,
6fb872,e10cf19f-2669-4713-82a4-fa25956fb872,
c041b4,e1519531-bf54-4578-8172-bcd32fc041b4,
158126,e1e4fb94-42d7-456c-ba0b-2b7c72158126,
ffce4b,e211d46c-6b86-434d-ad6b-52952cffce4b,
44339e,e2aa1ce2-0977-49e5-8d74-a089cb44339e,
81c5ba,e35d448c-a1cd-4845-af48-04c72a81c5ba,
a4509f,e3881abd-7a8b-4fe5-9d91-372944a4509f,
0d9510,e4e3da74-37bf-4ec1-81b7-a51f890d9510,
0cad44,e59dbad3-f72b-4da2-911d-8f2b680cad44,
f1dd2f,e5b817d6-fcbe-49df-8e56-f4caf5f1dd2f,
7a6394,e5e85602-dd06-40c1-8aa8-9265607a6394,
cd2348,e6dd8882-b30f-44a6-aefb-883d2dcd2348,
13749a,e7aff3f4-cf74-416e-963f-71825713749a,
5674ae,e902251c-cb83-4d2f-b512-88f72d5674ae,
ce8b97,e9c5eded-e18e-4f19-9506-a3dd8fce8b97,
5d2b0e,ea5efe61-2ddc-4f07-beb1-ccdd485d2b0e,
eb1e72,eab0a648-3a42-4837-8847-1991caeb1e72,
f4b258,eb5dffef-1b82-4ada-9047-f685ecf4b258,
cfc6f7,ebd81c3e-e453-4248-aa9b-217529cfc6f7,
a4e66b,ee17ec43-ab54-49d2-a238-eb6acca4e66b,
6cf94e,eeae02ea-851c-459a-bb1c-27c3376cf94e,
b0e538,eee3607b-2768-46f3-ab9f-335055b0e538,
cb266e,ef82e1f0-24a3-4911-98a7-5d59cecb266e,
55ce8b,f226bd3b-1da0-49e7-8b13-c73ebb55ce8b,
203146,f27fd05f-582e-4ea8-912f-9651f4203146,
87dd36,f32d149b-5be0-4b41-810d-421f4887dd36,
84e7a8,f450a41d-4806-489e-b1df-91e98b84e7a8,
1559f7,f5fc1896-2a11-4130-84ea-8d47ee1559f7,
f645ab,f77531bf-1e6a-4408-a6b7-ffd9daf645ab,
1d9899,f79a1452-5fc9-4e1a-9986-c849d41d9899,
f86fe0,f8a1ae91-0a74-4bd5-aebd-1b917cf86fe0,
79cbe8,f8fbcac3-bf7b-4a40-a67b-1f4f8879cbe8,
5fe515,f9226046-512a-46f3-af2c-61f09e5fe515,
609299,f9fd3e22-d23b-427e-911c-82af85609299,
e5abea,fa1f30f9-7043-4674-8376-b0c49ce5abea,
5bcd9e,fae94697-aa5b-4ef5-bbcd-60f6615bcd9e,
af8dd8,fb165b21-3ec0-4db3-8313-be9b88af8dd8,
e2f813,fb167d5b-1ab5-4b05-a335-950800e2f813,
422684,fc761623-f193-4605-b9f6-6b16c4422684,
55e818,fc77ec1e-ed4b-4f6b-ab34-a7220d55e818,
e9db22,fcf92a18-dc1f-454e-9f80-e67c31e9db22,
9fbec0,fd15870f-d246-4676-9eef-a1b2139fbec0,
1c413b,fdb0aaa4-e3c2-4732-a42b-0a4fe51c413b,
