zone,zip_code,latitude,longitude,balanced_kmeans,subzone,Cuentas
Puebla,72229,19.0630671,-98.11415855,blue,1.0,1
Puebla,72240,19.0232709,-98.2144035,blue,2.0,1
Puebla,72320,19.0412479,-98.14588836666668,blue,1.0,1
Puebla,72330,19.0490417,-98.1702912,blue,2.0,1
Puebla,72365,19.0296139,-98.1393499,blue,1.0,2
Puebla,72370,19.0455963,-98.178897,blue,2.0,1
Puebla,72377,19.04163645,-98.18393117182204,blue,2.0,7
Puebla,72380,19.0210174,-98.17731055,blue,1.0,2
Puebla,72390,19.0220131,-98.1471164,blue,1.0,1
Puebla,72450,19.01385485,-98.24101576666666,green,2.0,1
Puebla,72464,19.0105417,-98.24657408297428,green,2.0,1
Puebla,72470,19.001758233333334,-98.22885366666668,green,2.0,10
Puebla,72474,18.9947005,-98.2192318,gold,2.0,2
Puebla,72477,19.0031961,-98.1741366,blue,1.0,2
Puebla,72490,18.9783698,-98.24307362142858,gold,2.0,18
Puebla,72495,18.958554,-98.2548494,gold,3.0,1
Puebla,72498,18.9784386,-98.2684779,green,1.0,7
Puebla,72499,18.9487851,-98.2357273,gold,1.0,5
Puebla,72520,18.9769202,-98.2141845,gold,2.0,3
Puebla,72560,19.0181935,-98.1980073,blue,2.0,1
Puebla,72580,19.0087321,-98.20904115,blue,2.0,2
Puebla,72595,18.9898157,-98.1896982,blue,1.0,6
Puebla,72670,19.1262707,-98.3043784,red,2.0,1
Puebla,72730,19.09,-98.2638889,red,1.0,1
Puebla,72756,19.0816252,-98.2721519,red,1.0,1
Puebla,72760,19.054281063829787,-98.31298909007091,green,1.0,5
Puebla,72775,19.0815281,-98.2900991,red,2.0,1
Puebla,72840,19.027270588172044,-98.31408237956988,green,1.0,2
Puebla,72850,18.97853276333333,-98.33166139333332,green,1.0,2
Puebla,72960,18.9233724,-98.20493715,gold,1.0,3
Puebla,72980,19.043952808333334,-98.04610655,blue,1.0,1
Puebla,72995,19.046389,-98.116944,blue,1.0,1
Puebla,74160,19.164133375,-98.40050745,red,2.0,1
Puebla,74169,19.2111351,-98.3807,red,2.0,2
