Cosecha,KPI,Mes,Value
2021-09,Par8,M001,0.05384865992811238
2021-10,Par8,M001,0.0502285303561583
2021-11,Par8,M001,0.0689576575280166
2021-12,Par8,M001,0.027320370562062806
2022-01,Par8,M001,0.015384799109782818
2022-02,Par8,M001,0.024134730073152248
2022-03,Par8,M001,0.012272210744471016
2022-04,Par8,M001,0.020236371782106258
2022-05,Par8,M001,0.05958503610237943
2022-06,Par8,M001,0.09145544430514226
2022-07,Par8,M001,0.07841381008483828
2022-08,Par8,M001,0.08179391311379278
2022-09,Par8,M001,0.06629217041120528
2022-10,Par8,M001,0.10426704172714027
2022-11,Par8,M001,0.05928136128941651
2022-12,Par8,M001,0.014372215724502181
2023-01,Par8,M001,0.0269192808922322
2023-02,Par8,M001,0.034254608062561136
2023-03,Par8,M001,0.08597714295137235
2023-04,Par8,M001,0.0
2023-05,Par8,M001,0.028008958011625385
2023-06,Par8,M001,0.020640507889734625
2023-07,Par8,M001,0.06022881051335059
2021-08,Par8,M002,0.047100664440795706
2021-09,Par8,M002,0.1324897457248969
2021-10,Par8,M002,0.10853793698976272
2021-11,Par8,M002,0.14659512784995196
2021-12,Par8,M002,0.033355996473627095
2022-01,Par8,M002,0.05411946627376377
2022-02,Par8,M002,0.03648908823086361
2022-03,Par8,M002,0.03044866887235023
2022-04,Par8,M002,0.1052508243096186
2022-05,Par8,M002,0.171937146674911
2022-06,Par8,M002,0.17247969462349272
2022-07,Par8,M002,0.1918154845560311
2022-08,Par8,M002,0.15155241094016333
2022-09,Par8,M002,0.13161042083314145
2022-10,Par8,M002,0.14917710331862083
2022-11,Par8,M002,0.09023346410929929
2022-12,Par8,M002,0.026295003353501316
2023-01,Par8,M002,0.12061931591373583
2023-02,Par8,M002,0.1762103286172648
2023-03,Par8,M002,0.030426122934406434
2023-04,Par8,M002,0.09456619322698266
2023-05,Par8,M002,0.09898430346577801
2023-06,Par8,M002,0.033021336525290275
2021-08,Par8,M003,0.11996496350706795
2021-09,Par8,M003,0.15033979925640947
2021-10,Par8,M003,0.16197713015893017
2021-11,Par8,M003,0.19309732628583665
2021-12,Par8,M003,0.02752444846773144
2022-01,Par8,M003,0.09523266131200096
2022-02,Par8,M003,0.09672510597007111
2022-03,Par8,M003,0.05441871845927034
2022-04,Par8,M003,0.18705049799795864
2022-05,Par8,M003,0.2256866963738548
2022-06,Par8,M003,0.25719723159311164
2022-07,Par8,M003,0.2169150441234742
2022-08,Par8,M003,0.22691234052207312
2022-09,Par8,M003,0.1655638457846509
2022-10,Par8,M003,0.19396866041217384
2022-11,Par8,M003,0.13269124086689615
2022-12,Par8,M003,0.0402756336604966
2023-01,Par8,M003,0.1722406536058849
2023-02,Par8,M003,0.2166556042605854
2023-03,Par8,M003,0.0601472122896281
2023-04,Par8,M003,0.22533892133055772
2023-05,Par8,M003,0.2333315443300142
2021-08,Par8,M004,0.1299726653855653
2021-09,Par8,M004,0.25328031125122485
2021-10,Par8,M004,0.12480795101746714
2021-11,Par8,M004,0.1661639136825595
2021-12,Par8,M004,0.045345175374626005
2022-01,Par8,M004,0.10598344046280737
2022-02,Par8,M004,0.12052353774103892
2022-03,Par8,M004,0.12175389093673797
2022-04,Par8,M004,0.18742625543684815
2022-05,Par8,M004,0.2560358245488533
2022-06,Par8,M004,0.2985032988641768
2022-07,Par8,M004,0.2622663760842885
2022-08,Par8,M004,0.24546365605407022
2022-09,Par8,M004,0.22448866075475593
2022-10,Par8,M004,0.2429843968563874
2022-11,Par8,M004,0.161034830008436
